origem,tipo,classificacao,acao,destino,motivo
D:\novosproj\projects\2025\CapyMES-main\CapyMES-main,web-app,project,summarize,projects/capymes-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\CapyMES-main\CapyMES-main,web-app,project,reference,projects/capymes-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capypages-main\capypages-main,web-app,project,summarize,projects/capypages-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capypages-main\capypages-main,web-app,project,reference,projects/capypages-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyptt-main\capyptt-main,software-project,project,summarize,projects/capyptt-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyptt-main\capyptt-main,software-project,project,reference,projects/capyptt-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyroom-main\capyroom-main,web-app,project,summarize,projects/capyroom-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyroom-main\capyroom-main,web-app,project,reference,projects/capyroom-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\CapyUNIcode-main\CapyUNIcode-main,web-app,project,summarize,projects/capyunicode-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\CapyUNIcode-main\CapyUNIcode-main,web-app,project,reference,projects/capyunicode-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyuniv2-main\capyuniv2-main,web-app,project,summarize,projects/capyuniv2-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyuniv2-main\capyuniv2-main,web-app,project,reference,projects/capyuniv2-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyuniv2-main (1)\capyuniv2-main,web-app,project,summarize,projects/capyuniv2-main-2,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyuniv2-main (1)\capyuniv2-main,web-app,project,reference,projects/capyuniv2-main-2/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyviewport-main\capyviewport-main,web-app,project,summarize,projects/capyviewport-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyviewport-main\capyviewport-main,web-app,project,reference,projects/capyviewport-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyvision-main\capyvision-main,web-app,project,summarize,projects/capyvision-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyvision-main\capyvision-main,web-app,project,reference,projects/capyvision-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capywork-saas,web-app,project,summarize,projects/capywork-saas,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capywork-saas,web-app,project,reference,projects/capywork-saas/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\active\capypos,desktop-app,project,summarize,projects/capypos,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\active\capypos,desktop-app,project,reference,projects/capypos/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\active\ops\capy-workspace (7),desktop-app,project,summarize,projects/capy-workspace-7,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\active\ops\capy-workspace (7),desktop-app,project,reference,projects/capy-workspace-7/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\active\ops\capyops\capyops-main,desktop-app,project,summarize,projects/capyops-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\active\ops\capyops\capyops-main,desktop-app,project,reference,projects/capyops-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\active\ops\capyops-main (3)\capyops-main,desktop-app,project,summarize,projects/capyops-main-2,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\active\ops\capyops-main (3)\capyops-main,desktop-app,project,reference,projects/capyops-main-2/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\active\ops\Nova pasta,desktop-app,project,summarize,projects/nova-pasta,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\active\ops\Nova pasta,desktop-app,project,reference,projects/nova-pasta/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\active\ops\Nova pasta (2),web-app,project,summarize,projects/nova-pasta-2,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\active\ops\Nova pasta (2),web-app,project,reference,projects/nova-pasta-2/manifest.json,Original path kept only as a pointer.
D:\novosproj\knowledge,light-directory,knowledge,catalog,indexes/knowledge-index.md,Cataloged as an existing light content area.
D:\novosproj\docs,light-directory,docs,catalog,indexes/docs-index.md,Cataloged as an existing light content area.
D:\novosproj\prompts,light-directory,prompts,catalog,indexes/prompts-index.md,Cataloged as an existing light content area.
D:\novosproj\datasets,light-directory,datasets,catalog,indexes/datasets-index.md,Cataloged as an existing light content area.
D:\novosproj\data,light-directory,data,catalog,indexes/data-index.md,Cataloged as an existing light content area.
D:\novosproj\schemas,light-directory,schemas,catalog,indexes/schemas-index.md,Cataloged as an existing light content area.
D:\novosproj\references,light-directory,references,catalog,indexes/references-index.md,Cataloged as an existing light content area.
D:\novosproj\scripts,light-directory,scripts,catalog,indexes/scripts-index.md,Cataloged as an existing light content area.
D:\novosproj\fwefwef.txt,unclassified,review,review,indexes/review-items.md,Item falls outside the main taxonomy.
D:\novosproj\INVENTORY.md,unclassified,review,review,indexes/review-items.md,Item falls outside the main taxonomy.
D:\novosproj\MIGRATION_PLAN.md,unclassified,review,review,indexes/review-items.md,Item falls outside the main taxonomy.
D:\novosproj\MOVE_MAP.csv,unclassified,review,review,indexes/review-items.md,Item falls outside the main taxonomy.
D:\novosproj\PROPOSED_TREE.txt,unclassified,review,review,indexes/review-items.md,Item falls outside the main taxonomy.
D:\novosproj\RELOCATION_LOG.md,unclassified,review,review,indexes/review-items.md,Item falls outside the main taxonomy.
